"lesson_id","lesson_title","segment_id","segment_type","script_text_ar","script_text_support","delivery_note","target_duration_sec","repeatability","native_review_flag","export_state","planned_audio_filename","batch_id","production_status","row_kind","asset_stem","source_ref","planned_audio_asset_path","review_reason","review_source_ref"
"V2-A1-03-PREVIEW","One Word, Connected Shape","L03_AR_003","fragment","ب","display=ب","Orthographic fragment. Keep it isolated and do not improvise its spoken treatment. Hold from export until this line is manually cleared. The repeated-family cue is an orthographic fragment rather than a self-evident spoken target.","2","ONE_PASS","REQUIRED","HOLD","l03_ar_003_normal.mp3","BATCH_A","REVISE_REQUIRED","ARABIC_ASSET","l03_ar_003","practice:recall_repeated_family_in_bab.expectedAnswer","lesson_03/voiceover/l03_ar_003_normal.mp3","The repeated-family cue is an orthographic fragment rather than a self-evident spoken target.","practice:recall_repeated_family_in_bab.expectedAnswer"
"V2-A1-03-PREVIEW","One Word, Connected Shape","L03_AR_004","build_artifact","بـ ا ـب","display=بـ ا ـب","Build artifact, not natural continuous speech. Keep it out of blind TTS export until confirmed. Hold from export until this line is manually cleared. The connection path بـ ا ـب is a UI build artifact, not natural continuous Arabic speech.","3","ONE_PASS","NOT_REQUIRED","HOLD","l03_ar_004_normal.mp3","BATCH_A","REVISE_REQUIRED","ARABIC_ASSET","l03_ar_004","practice:build_bab_from_connection.expectedAnswer","lesson_03/voiceover/l03_ar_004_normal.mp3","The connection path بـ ا ـب is a UI build artifact, not natural continuous Arabic speech.","practice:build_bab_from_connection.expectedAnswer"
"V2-A1-04-PREVIEW","Reading Support For Real Words","L04_AR_001","word","كِتاب","display=كِتاب ; transliteration=kitab ; meaning=book","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody. Review before export. The vowelled support form كِتاب should be confirmed for beginner-safe pronunciation and pacing.","3","REPEATABLE","REQUIRED","REVIEW","l04_ar_001_normal.mp3","BATCH_A","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l04_ar_001","content:input_kitab_supported","lesson_04/voiceover/l04_ar_001_normal.mp3","The vowelled support form كِتاب should be confirmed for beginner-safe pronunciation and pacing.","content:input_kitab_supported"
"V2-A1-04-PREVIEW","Reading Support For Real Words","L04_AR_002","word","بَاب","display=بَاب ; transliteration=baab ; meaning=door","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody. Review before export. The vowelled support form بَاب should be confirmed for beginner-safe pronunciation and pacing.","3","REPEATABLE","REQUIRED","REVIEW","l04_ar_002_normal.mp3","BATCH_A","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l04_ar_002","content:input_bab_supported","lesson_04/voiceover/l04_ar_002_normal.mp3","The vowelled support form بَاب should be confirmed for beginner-safe pronunciation and pacing.","content:input_bab_supported"
"V2-A1-04-PREVIEW","Reading Support For Real Words","L04_AR_004","short_phrase","هذا كِتاب","display=هذا كِتاب / هذا بَاب ; transliteration=hadha kitab / hadha baab ; meaning=this is a book / this is a door ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","Short Arabic phrase. Keep the word boundary clear and easy to repeat once. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form. Review before export. The spoken/display split around the tiny usage glimpse should be confirmed before export.","3","REPEATABLE","REQUIRED","REVIEW","l04_ar_004_normal.mp3","BATCH_A","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l04_ar_004","content:tiny_usage_glimpse","lesson_04/voiceover/l04_ar_004_normal.mp3","The spoken/display split around the tiny usage glimpse should be confirmed before export.","content:tiny_usage_glimpse"
"lesson_09_bayt_make_it_stick","بيت Means House","L09_AR_001","word","بيت","display=بَيْت ; transliteration=bayt ; meaning=house ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form. Review before export. The source preserves a spoken/display split for بيت / بَيْت that should be confirmed before export.","3","REPEATABLE","REQUIRED","REVIEW","l09_ar_001_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l09_ar_001","content:input_bayt_word","lesson_09/voiceover/l09_ar_001_normal.mp3","The source preserves a spoken/display split for بيت / بَيْت that should be confirmed before export.","content:input_bayt_word"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_001","opening","ة","Arabic Gives You a Clue: ة","Short open. Calm lift on the first words, then a clean stop. Hold from export until this line is manually cleared. The title includes isolated ة, which needs a spoken-form decision before recording or TTS export.","4","REPEATABLE","REQUIRED","HOLD","l10_ord_001_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_001","lesson.title","lesson_10/voiceover/l10_ord_001_normal.mp3","The title includes isolated ة, which needs a spoken-form decision before recording or TTS export.","lesson.title"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_002","opening","ة سيارة كلمة","After this lesson, you can spot one helpful page clue, ة, in سيارة, with كلمة as a light confirmation.","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts. Review before export. The isolated ة inside an English sentence may be misread by TTS unless its spoken rendering is fixed first.","7","ONE_PASS","REQUIRED","REVIEW","l10_ord_002_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_002","lesson.outcomeSummary","lesson_10/voiceover/l10_ord_002_normal.mp3","The isolated ة inside an English sentence may be misread by TTS unless its spoken rendering is fixed first.","lesson.outcomeSummary"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_003","opening","ة","Notice ة as a helpful clue on the page in one tiny controlled set.","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts. Review before export. The isolated glyph should not be left to narrator or engine guesswork.","7","ONE_PASS","REQUIRED","REVIEW","l10_ord_003_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_003","objective:notice_ta_marbuta_clue","lesson_10/voiceover/l10_ord_003_normal.mp3","The isolated glyph should not be left to narrator or engine guesswork.","objective:notice_ta_marbuta_clue"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_005","teaching_narration","ة","Look for one helpful page clue. In this lesson, Arabic gives you one small visible hint: ة.","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it. Review before export. The isolated glyph inside the English narration needs a confirmed spoken treatment.","6","ONE_PASS","REQUIRED","REVIEW","l10_ord_005_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_005","content:goal_ta_marbuta_clue.body","lesson_10/voiceover/l10_ord_005_normal.mp3","The isolated glyph inside the English narration needs a confirmed spoken treatment.","content:goal_ta_marbuta_clue.body"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_009","teaching_narration","ة","When you see ة in this tiny set, let it feel like a page clue. You are not memorizing a rule block.","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it. Review before export. The isolated glyph inside the English narration needs a confirmed spoken treatment.","7","ONE_PASS","REQUIRED","REVIEW","l10_ord_009_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_009","content:explain_ta_marbuta_clue.body","lesson_10/voiceover/l10_ord_009_normal.mp3","The isolated glyph inside the English narration needs a confirmed spoken treatment.","content:explain_ta_marbuta_clue.body"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_014","instruction_prompt","سيارة","Which ending is the helpful page clue in سيارة?","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end. Review before export. The prompt contains an isolated orthographic clue and should be reviewed before TTS export.","6","REPEATABLE","REQUIRED","REVIEW","l10_ord_014_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_014","practice:spot_ta_marbuta_in_sayyara.prompt","lesson_10/voiceover/l10_ord_014_normal.mp3","The prompt contains an isolated orthographic clue and should be reviewed before TTS export.","practice:spot_ta_marbuta_in_sayyara.prompt"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_SEG_019","instruction_prompt","سيار ة","Build the clue-marking action in order: سيار then ة.","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end. Review before export. The prompt mixes an orthographic build instruction with isolated ة and needs reviewed spoken handling.","6","REPEATABLE","REQUIRED","REVIEW","l10_ord_019_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l10_ord_019","practice:mark_ta_marbuta_output.prompt","lesson_10/voiceover/l10_ord_019_normal.mp3","The prompt mixes an orthographic build instruction with isolated ة and needs reviewed spoken handling.","practice:mark_ta_marbuta_output.prompt"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_AR_004","fragment","ة","display=ة ; meaning=helpful ending clue","Orthographic fragment. Keep it isolated and do not improvise its spoken treatment. Hold from export until this line is manually cleared. The standalone glyph ة is an orthographic clue, not a self-evident standalone spoken asset.","2","ONE_PASS","REQUIRED","HOLD","l10_ar_004_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l10_ar_004","practice:spot_ta_marbuta_in_sayyara.arabicText","lesson_10/voiceover/l10_ar_004_normal.mp3","The standalone glyph ة is an orthographic clue, not a self-evident standalone spoken asset.","practice:spot_ta_marbuta_in_sayyara.arabicText"
"lesson_10_arabic_gives_you_a_clue_ta_marbuta","Arabic Gives You a Clue: ة","L10_AR_005","build_artifact","سيار ة","display=سيار ة","Build artifact, not natural continuous speech. Keep it out of blind TTS export until confirmed. Hold from export until this line is manually cleared. The build artifact سيار ة is not natural continuous Arabic speech and should not enter blind export.","3","ONE_PASS","REQUIRED","HOLD","l10_ar_005_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l10_ar_005","practice:mark_ta_marbuta_output.expectedAnswer","lesson_10/voiceover/l10_ar_005_normal.mp3","The build artifact سيار ة is not natural continuous Arabic speech and should not enter blind export.","practice:mark_ta_marbuta_output.expectedAnswer"
"lesson_11_one_or_more_another_arabic_clue","One Or More? A Tiny Arabic Clue","L11_AR_001","short_phrase","سيارة سيارات","display=سيارة / سيارات ; transliteration=sayyara / sayyaraat ; meaning=one car / cars ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","Short Arabic phrase. Keep the word boundary clear and easy to repeat once. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form. Review before export. The main pair needs a native-checked pause and contrast pattern so سيارة and سيارات do not blur together.","3","REPEATABLE","REQUIRED","REVIEW","l11_ar_001_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l11_ar_001","content:input_main_pair_sayyara","lesson_11/voiceover/l11_ar_001_normal.mp3","The main pair needs a native-checked pause and contrast pattern so سيارة and سيارات do not blur together.","content:input_main_pair_sayyara"
"lesson_11_one_or_more_another_arabic_clue","One Or More? A Tiny Arabic Clue","L11_AR_002","short_phrase","كلمة كلمات","display=كلمة / كلمات ; meaning=word / words ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","Short Arabic phrase. Keep the word boundary clear and easy to repeat once. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form. Review before export. The support pair كلمة / كلمات also needs clear plural contrast in audio delivery.","3","REPEATABLE","REQUIRED","REVIEW","l11_ar_002_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l11_ar_002","content:contrast_support_pair","lesson_11/voiceover/l11_ar_002_normal.mp3","The support pair كلمة / كلمات also needs clear plural contrast in audio delivery.","content:contrast_support_pair"
"lesson_12_you_can_read_a_tiny_arabic_card","You Can Read a Tiny Arabic Card","L12_AR_001","list","كتاب قلم بيت سيارة سيارات","display=كتاب
قلم
بيت
سيارة
سيارات ; meaning=book / pen / house / car / cars ; notes=Spoken text follows audioQueryText; display text preserves on-screen form.","Arabic list, not a sentence. Give each item its own beat and keep the order clean. Preserve the source spoken-versus-display split exactly as written. Spoken text follows audioQueryText; display text preserves on-screen form. Review before export. The five-item tiny-card sequence needs controlled pauses so the list stays readable and contrastive.","6","REPEATABLE","REQUIRED","REVIEW","l12_ar_001_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l12_ar_001","content:input_tiny_supported_card","lesson_12/voiceover/l12_ar_001_normal.mp3","The five-item tiny-card sequence needs controlled pauses so the list stays readable and contrastive.","content:input_tiny_supported_card"
"lesson_12_you_can_read_a_tiny_arabic_card","You Can Read a Tiny Arabic Card","L12_SEG_014","instruction_prompt","ة","Which item on the card shows the ة clue?","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end. Review before export. The prompt includes an isolated ة clue inside English narration and should be checked before TTS export.","6","REPEATABLE","REQUIRED","REVIEW","l12_ord_014_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","NARRATION_SEGMENT","l12_ord_014","practice:spot_clue_item_on_tiny_card.prompt","lesson_12/voiceover/l12_ord_014_normal.mp3","The prompt includes an isolated ة clue inside English narration and should be checked before TTS export.","practice:spot_clue_item_on_tiny_card.prompt"
"lesson_12_you_can_read_a_tiny_arabic_card","You Can Read a Tiny Arabic Card","L12_AR_005","build_artifact","كتاب قلم بيت سيارة سيارات","display=كتاب قلم بيت سيارة سيارات","Build artifact, not natural continuous speech. Keep it out of blind TTS export until confirmed. Review before export. The rebuilt card sequence is exportable only if list pacing is explicitly preserved in the spoken output.","3","ONE_PASS","REQUIRED","REVIEW","l12_ar_005_normal.mp3","BATCH_C","NATIVE_REVIEW_REQUIRED","ARABIC_ASSET","l12_ar_005","practice:rebuild_tiny_card_order.expectedAnswer","lesson_12/voiceover/l12_ar_005_normal.mp3","The rebuilt card sequence is exportable only if list pacing is explicitly preserved in the spoken output.","practice:rebuild_tiny_card_order.expectedAnswer"
